"Dataset: Underlying Cause of Death, 1999-2017",,,,,,,
Query Parameters:,,,,,,,
Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44),,,,,,,
Group By: State; Year; Month,,,,,,,
Notes,State,State Code,Year,Year Code,Month,Month Code,Deaths
,Alabama,1,2009,2009,"Feb., 2009",2009/02,48
,Alabama,1,2009,2009,"Mar., 2009",2009/03,47
,Alabama,1,2009,2009,"Apr., 2009",2009/04,42
,Alabama,1,2009,2009,"May, 2009",2009/05,50
,Alabama,1,2009,2009,"Jun., 2009",2009/06,47
,Alabama,1,2009,2009,"Jul., 2009",2009/07,41
,Alabama,1,2009,2009,"Aug., 2009",2009/08,52
,Alabama,1,2009,2009,"Sep., 2009",2009/09,34
,Alabama,1,2009,2009,"Oct., 2009",2009/10,39
,Alabama,1,2009,2009,"Nov., 2009",2009/11,53
,Alabama,1,2009,2009,"Dec., 2009",2009/12,43
,Alabama,1,2010,2010,"Jan., 2010",2010/01,38
,Alabama,1,2010,2010,"Feb., 2010",2010/02,39
,Alabama,1,2010,2010,"Mar., 2010",2010/03,39
,Alabama,1,2010,2010,"Apr., 2010",2010/04,49
,Alabama,1,2010,2010,"May, 2010",2010/05,41
,Alabama,1,2010,2010,"Jun., 2010",2010/06,31
,Alabama,1,2010,2010,"Jul., 2010",2010/07,35
,Alabama,1,2010,2010,"Aug., 2010",2010/08,42
,Alabama,1,2010,2010,"Sep., 2010",2010/09,32
,Alabama,1,2010,2010,"Oct., 2010",2010/10,37
,Alabama,1,2010,2010,"Nov., 2010",2010/11,34
,Alabama,1,2010,2010,"Dec., 2010",2010/12,46
,Alabama,1,2011,2011,"Jan., 2011",2011/01,37
,Alabama,1,2011,2011,"Feb., 2011",2011/02,46
,Alabama,1,2011,2011,"Mar., 2011",2011/03,46
,Alabama,1,2011,2011,"Apr., 2011",2011/04,56
,Alabama,1,2011,2011,"May, 2011",2011/05,47
